C,W1,W2,W3,W4,W11,W12,W13,W14,W22,W23,W24,W33,W34,W44,Q1,Q2,Q3,Q4,Q5,Q11,Q12,Q13,Q14,Q15,Q22,Q23,Q24,Q25,Q33,Q34,Q35,Q44,Q45,Q55,W1Q1,W1Q2,W1Q3,W1Q4,W1Q5,W2Q1,W2Q2,W2Q3,W2Q4,W2Q5,W3Q1,W3Q2,W3Q3,W3Q4,W3Q5,W4Q1,W4Q2,W4Q3,W4Q4,W4Q5,T,T2,TW1,TW2,TW3,TW4,TQ1,TQ2,TQ3,TQ4,TQ5,BANK 
11.087249,6.329742,1.3698416,-0.7067983,-0.8514769,20.032817,8.670744,-4.4738508,-5.3896289,0.938233,-0.9682017,-1.1663885,0.2497819,0.6018224,0.3625064,8.9377439,10.046115,9.420196,8.6052041,6.3851944,39.941633,89.789603,84.1953,76.91111,57.069233,50.462213,94.636372,86.448869,64.146397,44.370047,81.062709,60.149783,37.024769,54.945901,20.385354,56.573613,63.589316,59.62741,54.468722,40.416633,12.243294,13.761586,12.904177,11.787767,8.746705,-6.3171821,-7.1005768,-6.6581784,-6.0821435,-4.5130445,-7.6102822,-8.5540345,-8.021079,-7.3271322,-5.4368454,1,0.5,6.329742,1.3698416,-0.7067983,-0.8514769,8.9377439,10.046115,9.420196,8.6052041,6.3851944,1
11.970342,6.9036527,2.7279336,-0.4618358,-1.0599109,23.83021,18.832706,-3.1883541,-7.3172568,3.7208108,-1.2598574,-2.8913666,0.1066462,0.4895048,0.5617056,9.160835,10.61526,10.654337,8.6827076,8.4268308,41.960449,97.244647,97.602627,79.540852,77.196806,56.341875,113.09856,92.169201,89.453001,56.757453,92.508497,89.782298,37.694706,73.167708,35.505738,63.243223,73.28407,73.553846,59.942398,58.175913,24.990149,28.957725,29.064325,23.68585,22.987835,-4.2308017,-4.9025074,-4.9205546,-4.0099854,-3.8918123,-9.7096689,-11.25123,-11.292649,-9.2028966,-8.9316899,2,2,13.807305,5.4558672,-0.9236716,-2.1198218,18.32167,21.23052,21.308675,17.365415,16.853662,1
12.152362,6.3452967,1.4486674,-0.2951448,-0.914937,20.131395,9.1922243,-1.8727813,-5.8055466,1.0493186,-0.4275666,-1.3254394,0.0435552,0.2700389,0.4185548,9.4172732,11.333332,10.159872,8.1461295,7.5087872,44.342518,106.72909,95.678295,76.714327,70.7123,64.222209,115.14521,92.322792,85.099579,51.611504,82.763637,76.28832,33.179713,61.167553,28.190942,59.755393,71.913355,64.467405,51.689608,47.645482,13.642497,16.418229,14.718276,11.801032,10.877735,-2.7794592,-3.344974,-2.9986335,-2.4042878,-2.2161795,-8.6162115,-10.369285,-9.295643,-7.4531951,-6.870067,3,4.5,19.03589,4.3460021,-0.8854344,-2.7448109,28.25182,33.999997,30.479617,24.438389,22.526362,1
9.8761958,6.3254984,2.3077649,-0.1654701,-0.709237,20.005965,14.597763,-1.0466808,-4.4862772,2.6628894,-0.3818661,-1.6367522,0.0136902,0.1173575,0.2515085,6.7298241,8.3698526,8.0507034,7.2026612,5.4553211,22.645266,56.327636,54.179817,48.472643,36.713351,35.027216,67.383201,60.285213,45.660234,32.406912,57.986489,43.919172,25.939164,39.29283,14.880264,42.569491,52.943489,50.924711,45.560422,34.507625,15.530852,19.315652,18.579131,16.622049,12.589599,-1.1135846,-1.3849602,-1.3321506,-1.191825,-0.9026924,-4.7730399,-5.9362088,-5.7098564,-5.1083935,-3.8691153,4,8,25.301993,9.2310596,-0.6618803,-2.8369478,26.919296,33.47941,32.202814,28.810645,21.821284,1
12.984678,6.6562753,2.3091928,-0.2314853,-0.3904368,22.153001,15.370623,-1.5408296,-2.5988546,2.6661856,-0.5345441,-0.9015937,0.0267927,0.0903804,0.0762204,8.1469987,12.129111,11.292029,7.2758646,8.8959036,33.186794,98.815848,91.996149,59.276459,72.474915,73.557662,136.96227,88.249766,107.8994,63.754964,82.159277,100.4528,26.469103,64.72539,39.56855,54.228666,80.7347,75.162857,48.430158,59.213583,18.81299,28.008454,26.075472,16.801374,20.542356,-1.88591,-2.8077102,-2.6139383,-1.6842553,-2.0592705,-3.1808878,-4.7356507,-4.4088234,-2.840765,-3.4732878,5,12.5,33.2813765,11.545964,-1.1574263,-1.561747,40.7349935,60.645555,56.460145,36.379323,44.479518,1
9.3267061,6.7343578,2.2250694,-0.0950376,-0.5616239,22.675787,14.984413,-0.640017,-3.7821766,2.4754669,-0.2114652,-1.2496523,0.0045161,0.0533754,0.1577107,6.0661081,7.8228453,7.9459096,6.3801225,5.4847969,18.398834,47.454225,48.200746,38.702513,33.271371,30.598454,62.159621,49.910712,42.906718,31.56874,50.695877,43.581701,20.352982,34.993677,15.041499,40.851342,52.681839,53.510598,42.966028,36.936585,13.497511,17.406374,17.6802,14.196215,12.204054,-0.5765082,-0.7434642,-0.75516,-0.6063514,-0.5212618,-3.4068716,-4.3934973,-4.4626131,-3.5832296,-3.0803933,1,0.5,6.7343578,2.2250694,-0.0950376,-0.5616239,6.0661081,7.8228453,7.9459096,6.3801225,5.4847969,2
9.5868888,7.1019822,3.6729226,0.3821314,0.2674998,25.219076,26.085031,2.7138902,1.8997786,6.7451803,1.403539,0.9825059,0.0730122,0.1022201,0.0357781,5.7333413,6.1696107,6.7019604,5.2203558,4.1743873,16.435601,35.372484,38.424626,29.930082,23.933187,19.032048,41.348487,32.207563,25.754345,22.458136,34.986618,27.976578,13.626057,21.791787,8.7127545,40.718088,43.816466,47.597203,37.074874,29.646424,21.058119,22.660503,24.615782,19.173963,15.332201,2.1908896,2.3576018,2.5610293,1.9948617,1.5951643,1.5336674,1.6503694,1.7927728,1.3964439,1.1166476,2,2,14.203964,7.3458453,0.7642627,0.5349995,11.466683,12.339221,13.403921,10.440712,8.3487745,2
12.85328,6.6053673,1.54081,-0.3705921,-0.6869116,21.815439,10.177616,-2.4478972,-4.5373032,1.1870477,-0.571012,-1.0584002,0.0686693,0.254564,0.2359237,9.6237736,11.904724,10.28045,9.3522739,8.2005628,46.30851,114.56837,98.936727,90.004167,78.92036,70.86123,122.38593,111.33624,97.625439,52.843829,96.145587,84.305478,43.732513,76.693909,33.624615,63.56856,78.635076,67.90615,61.775204,54.167729,14.828406,18.342918,15.84022,14.410077,12.635509,-3.5664948,-4.4117972,-3.809854,-3.4658792,-3.0390641,-6.6106815,-8.1774929,-7.0617603,-6.4241851,-5.6330615,3,4.5,19.816102,4.6224299,-1.1117764,-2.0607347,28.871321,35.714173,30.841351,28.056822,24.601688,2
13.560788,7.1036247,2.2735451,-0.5509074,-0.3216334,25.230742,16.150411,-3.9134392,-2.2847629,2.5845037,-1.2525127,-0.731248,0.1517495,0.1771902,0.051724,8.4076015,13.015226,10.842752,7.9373747,9.0575388,35.343882,109.42683,91.161541,66.734284,76.152177,84.69805,141.12087,103.30672,117.88591,58.782639,86.062988,98.20865,31.500959,71.893079,41.019504,59.724446,92.455279,77.022843,56.384131,64.341356,19.115061,29.590703,24.651486,18.045979,20.592723,-4.6318096,-7.1701838,-5.9733522,-4.3727582,-4.9898649,-2.7041654,-4.1861313,-3.4873913,-2.5529248,-2.913207,4,8,28.414499,9.0941804,-2.2036295,-1.2865336,33.630406,52.060903,43.371009,31.749499,36.230155,2
10.640104,6.0608411,1.3481577,-0.352526,-0.3648839,18.366898,8.1709693,-2.1366042,-2.2115034,0.9087645,-0.4752607,-0.491921,0.0621373,0.1286311,0.0665701,8.1610895,9.8204863,8.9548028,5.8289456,6.5220928,33.301691,80.145868,73.080947,47.570547,53.227383,48.220976,87.940518,57.243081,64.050123,40.094246,52.197058,58.404055,16.988304,38.016924,21.268847,49.463067,59.520407,54.273637,35.328313,39.529368,11.002435,13.239564,12.072486,7.8583376,8.7928093,-2.8769964,-3.4619769,-3.156801,-2.054855,-2.2992074,-2.9778502,-3.5833374,-3.2674634,-2.1268885,-2.3798067,5,12.5,30.3042055,6.7407885,-1.7626301,-1.4595356,40.8054475,49.1024315,44.774014,29.144728,32.610464,2
